項次編號,評分等級,認定項目,行政區編號,地址,場所名稱,Latitude,Longitude
288,2,4,松山區,市民大道4段39-2號,潤泰敦峰,25.04596848,121.54313608
289,2,2,松山區,濱江街457 巷至6號水門,濱江街一帶(6號水門以西至濱江街457巷),25.01973674,121.38493175
290,2,3,松山區,民生東路3段156號,宏泰世紀大樓地下室,25.05720088,121.54521978
291,2,3,松山區,南京東路3段337號,微風百貨南京店,25.05219338,121.54567038
292,2,4,松山區,民生東路5段198~206號,建成花園大廈,25.05862778,121.56185268
293,2,5,松山區,南京東路5段162號3樓,私立佳安康復中心,25.01973674,121.38493175
294,1,5,松山區,健康路131號,國軍松山醫院,25.05440258,121.55508298
295,1,5,松山區,敦化北路199號,長庚醫院,25.05565118,121.54673048
296,1,5,松山區,八德路2段242號,臺安醫院,25.04658998,121.53793008
297,1,5,松山區,八德路4段203~205號,臺北市私立康壯老人長期照顧中心(養護型),25.04891878,121.56121028
298,1,5,松山區,光復北路66號,博仁醫院,25.04997028,121.55498538
299,1,5,松山區,南京東路5段356號2樓,臺北市私立仁仁老人長期照顧中心(養護型),25.05098908,121.56712808
300,1,5,松山區,敦化南路1段7號4樓之1,臺北市私立臺大老人養護所,25.04686458,121.54674878
301,2,8,松山區,復興南路1段39號,微風廣場購物中心,25.04591588,121.54264428
302,2,8,松山區,三民路160號,家樂福(三民店),25.06159258,121.56132988
303,1,9,松山區,饒河街一帶,饒河街觀光夜市,25.05056761,121.56978344
304,2,9,松山區,南京東路3段337號14、15樓,亞太三溫暖,25.05219338,121.54567038
305,1,9,松山區,南京東路3段253號,捷運南京復興站,25.05154858,121.53900858
306,1,9,松山區,南京東路4段2號,小巨蛋,25.05079258,121.54744858
