data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2022-09-02 19:48:00+08,永和區,永和區永福橋,2022-09-02 19:48:00~2022-09-02 22:10:00,142.0,0,25.01038218,121.52429898
2022-08-25 17:30:00+08,中和區,忠孝街11巷24號,2022-08-25 17:30:00~,,10.00,24.98358018,121.50727978
2022-08-25 17:22:00+08,汐止區,汐止區汐止貨櫃聯絡道(台北往汐止方向),2022-08-25 17:22:00~2022-08-25 18:00:00,38.0,15.00,25.07563088,121.66282398
2022-08-25 17:20:00+08,中和區,仁愛路23號,2022-08-25 17:20:00~2022-08-25 18:10:00,50.0,10.00,24.97966258,121.45906698
2022-08-25 17:02:00+08,永和區,永和區林森路,2022-08-25 17:02:00~2022-08-25 17:30:00,28.0,0,25.00428678,121.52197488
2022-08-25 17:00:00+08,新店區,安平路高速公路涵洞,2022-08-25 17:00:00~2022-08-25 17:50:00,50.0,20.00,22.98924938,120.16399978
2022-08-25 16:42:00+08,中和區,中和區景新街418巷18弄,2022-08-25 16:42:00~2022-08-25 18:00:00,78.0,0,24.98839528,121.50924548
2022-08-25 16:34:16+08,永和區,國光路35號,2022-08-25 16:34:16~2022-08-25 16:39:16,5.0,13.00,25.01810838,121.45661128
2022-08-25 16:33:00+08,新店區,新店區新北市新店區安和路二段3號之3,2022-08-25 16:33:00~2022-08-25 17:50:00,77.0,0,24.96726558,121.51520118
2022-08-25 16:15:00+08,中和區,中和區景新街467巷20弄12號1樓,2022-08-25 16:15:00~2022-08-25 17:50:00,95.0,0,24.98807988,121.51164248
2022-08-25 16:13:14+08,永和區,永利路73號,2022-08-25 16:13:14~2022-08-25 16:24:16,11.0,11.00,25.00375438,121.51850478
2022-08-02 10:27:00+08,板橋區,板橋區文化路,2022-08-02 10:27:00~2022-08-02 10:50:00,23.0,0,25.01633678,121.46046898
2022-08-02 09:44:00+08,中和區,中和區莒光路國光街,2022-08-02 09:44:00~2022-08-02 10:50:00,66.0,0,25.00030248,121.47014288
2022-08-02 09:26:00+08,淡水區,淡水區中正路200號,2022-08-02 09:26:00~2022-08-02 10:00:00,34.0,0,25.17029888,121.43736088
2022-08-02 09:25:00+08,八里區,八里區龍米路三段(往林口方向),2022-08-02 09:25:00~2022-08-02 11:10:00,105.0,0,25.15949068,121.42400118
2022-08-02 09:21:26+08,八里區,中華路一段與埤頭一街口,2022-08-02 09:21:26~2022-08-02 10:44:26,83.0,20.00,25.15533948,121.41360148
2022-08-02 09:21:00+08,淡水區,淡水區新興國小,2022-08-02 09:21:00~2022-08-02 10:20:00,59.0,0,25.17971008,121.43749298
