"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2022-10-16 18:49:00+08","大同區","承德路2段萬全街","2022-10-16 18:49:00~2022-10-16 21:40:00","171","-"
"2022-10-16 18:45:00+08","信義區","吳興街600巷76弄91號","2022-10-16 18:45:00~","null","-"
"2022-10-16 18:39:00+08","中山區","林森北路138巷25號;林森北路138巷26號b1","2022-10-16 18:39:00~2022-10-16 22:40:00","241","-"
"2022-10-16 18:36:00+08","南港區","忠孝東路6段462巷","2022-10-16 18:36:00~2022-10-17 00:10:00","334","15.00"
"2022-10-16 18:36:00+08","南港區","忠孝東路6段462巷","2022-10-16 18:36:00~2022-10-16 22:00:00","204","-"
"2022-10-16 18:36:00+08","士林區","臺北市通河街325","2022-10-16 18:36:00~2022-10-16 20:30:00","114","-"
"2022-10-16 18:33:00+08","信義區","臺北市士林區中山北路七段１４１巷１號","2022-10-16 18:33:00~2022-10-17 14:50:00","1217","-"
"2022-10-16 18:33:00+08","中山區","中山北路二段-錦州街","2022-10-16 18:33:00~2022-10-16 19:10:00","37","-"
"2022-10-16 18:32:00+08","士林區","通河東街一段7號","2022-10-16 18:32:00~","null","-"
"2022-10-16 18:30:00+08","信義區","吳興街284巷20弄","2022-10-16 18:30:00~2022-10-16 19:40:00","70","10.00"
"2022-10-16 18:29:00+08","大同區","重慶北路四段","2022-10-16 18:29:00~2022-10-16 19:30:00","61","20.00"
"2022-10-16 18:29:00+08","松山區","北寧路４０號1樓","2022-10-16 18:29:00~2022-10-16 18:40:00","11","-"
"2022-10-16 18:26:00+08","士林區","延平北路8段2巷56弄","2022-10-16 18:26:00~2022-10-16 21:40:00","194","20.00"
"2022-10-16 18:26:00+08","大同區","重慶北路三段-民族西路","2022-10-16 18:26:00~2022-10-16 21:00:00","154","-"
"2022-10-16 18:23:00+08","大同區","環河北路2段383號1樓","2022-10-16 18:23:00~2022-10-16 21:40:00","197","10.00"
"2022-10-16 18:22:00+08","南港區","胡適公園","2022-10-16 18:22:00~2022-10-16 22:20:00","238","-"
"2022-10-16 18:21:00+08","大同區","敦煌路160-1號;台北交流道北上路口","2022-10-16 18:21:00~2022-10-16 21:10:00","169","-"
"2022-10-16 18:20:00+08","萬華區","臺北市萬華區漢中街122號","2022-10-16 18:20:00~2022-10-16 19:40:00","80","10.00"
"2022-10-16 18:17:00+08","內湖區","內湖區康樂街186巷1弄8號","2022-10-16 18:17:00~2022-10-16 19:40:00","83","-"
